fixture_id,replication,pair_role,expected_class,left,right,observed_statistic,permutation_p_value,null_statistics_path,fixture_seed,residual_seed,evaluation_seed,permutation_seed,profile,elapsed_seconds,warnings,exception_text,residual_sample_path,run_id,gate_result
F1,5,target,null-like,X1,X2,0.0515992790119392,0.595,substantive\null_statistics\F1-replication-5-target.npy,2853874126518472705,8583239325059312436,2400489832566862335,11355928618662880478,full,0.8683940999999322,,,substantive\residual_samples\F1-replication-5-target.csv,gate0-20260820-001,NARROW
F1,5,null_control,null-like,X4,X5,0.05089934712405731,0.58,substantive\null_statistics\F1-replication-5-null_control.npy,2853874126518472705,13563487007756919948,4216962354417325225,16357315107720102440,full,0.8619007999986934,,,substantive\residual_samples\F1-replication-5-null_control.csv,gate0-20260820-001,NARROW
F1,6,target,null-like,X1,X2,0.05014585576410736,0.61,substantive\null_statistics\F1-replication-6-target.npy,1597925818711880644,11127882781785151042,16054750707688237882,3273865883060716707,full,0.8617067000013776,,,substantive\residual_samples\F1-replication-6-target.csv,gate0-20260820-001,NARROW
F1,6,null_control,null-like,X4,X5,0.05172148017984417,0.535,substantive\null_statistics\F1-replication-6-null_control.npy,1597925818711880644,5166575252627004138,5221545420801545583,14168972639586142991,full,0.8632730000008451,,,substantive\residual_samples\F1-replication-6-null_control.csv,gate0-20260820-001,NARROW
F1,7,target,null-like,X1,X2,0.04565074718145282,0.855,substantive\null_statistics\F1-replication-7-target.npy,1300549985718391045,8525465184212257173,2618025211947251443,8334046070833854053,full,0.8652208999992581,,,substantive\residual_samples\F1-replication-7-target.csv,gate0-20260820-001,NARROW
F1,7,null_control,null-like,X4,X5,0.058126015574917714,0.285,substantive\null_statistics\F1-replication-7-null_control.npy,1300549985718391045,8384088480972963183,15705867789252790614,9947223770405878506,full,0.8642182000003231,,,substantive\residual_samples\F1-replication-7-null_control.csv,gate0-20260820-001,NARROW
F1,8,target,null-like,X1,X2,0.04278609220126723,0.895,substantive\null_statistics\F1-replication-8-target.npy,12816135561188623553,5105760270240439221,923738722233122399,9396723499894180155,full,0.865504499999588,,,substantive\residual_samples\F1-replication-8-target.csv,gate0-20260820-001,NARROW
F1,8,null_control,null-like,X4,X5,0.041171344710367715,0.97,substantive\null_statistics\F1-replication-8-null_control.npy,12816135561188623553,16678276617106663093,10447297555310017018,7920786155220547437,full,0.8667064000001119,,,substantive\residual_samples\F1-replication-8-null_control.csv,gate0-20260820-001,NARROW
F1,9,target,null-like,X1,X2,0.0513135978580728,0.55,substantive\null_statistics\F1-replication-9-target.npy,11170139905990578636,9959675880423669773,10990081387970944873,8985585162564665456,full,0.8722410000009404,,,substantive\residual_samples\F1-replication-9-target.csv,gate0-20260820-001,NARROW
F1,9,null_control,null-like,X4,X5,0.05441300780898142,0.41,substantive\null_statistics\F1-replication-9-null_control.npy,11170139905990578636,17115579571330312108,803333962591563920,11238674592362138882,full,0.8859510999991471,,,substantive\residual_samples\F1-replication-9-null_control.csv,gate0-20260820-001,NARROW
F2,0,target,non-null,X1,X2,0.5030978157378532,0.005,substantive\null_statistics\F2-replication-0-target.npy,9879674625329072587,17617453929302128071,12790620712226554705,9596891401332685179,full,0.8693999999995867,,,substantive\residual_samples\F2-replication-0-target.csv,gate0-20260820-001,NARROW
F2,0,null_control,null-like,X4,X5,0.04853058256022318,0.745,substantive\null_statistics\F2-replication-0-null_control.npy,9879674625329072587,10609623208931100609,16179054284700278151,11113868825309963255,full,0.8692460999991454,,,substantive\residual_samples\F2-replication-0-null_control.csv,gate0-20260820-001,NARROW
F2,1,target,non-null,X1,X2,0.4876064729664826,0.005,substantive\null_statistics\F2-replication-1-target.npy,4935768188142354095,842234072592478360,5214854595755377897,4557507353114403564,full,0.8684267000007821,,,substantive\residual_samples\F2-replication-1-target.csv,gate0-20260820-001,NARROW
F2,1,null_control,null-like,X4,X5,0.04981700335663316,0.61,substantive\null_statistics\F2-replication-1-null_control.npy,4935768188142354095,10672937774910807964,10381309920823688876,15404820023118671572,full,0.8685750000004191,,,substantive\residual_samples\F2-replication-1-null_control.csv,gate0-20260820-001,NARROW
F2,2,target,non-null,X1,X2,0.5302454823432089,0.005,substantive\null_statistics\F2-replication-2-target.npy,1950610592345612145,13684703514656509771,17966015940661307549,6389565665802125153,full,0.8501803999988624,,,substantive\residual_samples\F2-replication-2-target.csv,gate0-20260820-001,NARROW
F2,2,null_control,null-like,X4,X5,0.06932474985797987,0.145,substantive\null_statistics\F2-replication-2-null_control.npy,1950610592345612145,91748554292197362,317390188604841223,1861574773250762907,full,0.8667745999991894,,,substantive\residual_samples\F2-replication-2-null_control.csv,gate0-20260820-001,NARROW
F2,3,target,non-null,X1,X2,0.5039207370327944,0.005,substantive\null_statistics\F2-replication-3-target.npy,16412276899892999279,17073527354672523079,12155091455599076065,16322443144972892548,full,0.8878683000002638,,,substantive\residual_samples\F2-replication-3-target.csv,gate0-20260820-001,NARROW
F2,3,null_control,null-like,X4,X5,0.04049501489984086,0.96,substantive\null_statistics\F2-replication-3-null_control.npy,16412276899892999279,14610621061140501702,2164218622962444056,3759139260376273581,full,0.868785000000571,,,substantive\residual_samples\F2-replication-3-null_control.csv,gate0-20260820-001,NARROW
F2,4,target,non-null,X1,X2,0.5237346740763675,0.005,substantive\null_statistics\F2-replication-4-target.npy,12483363456047823126,13729911368553390144,2173673065855576175,8781300163171331153,full,0.8656198000007862,,,substantive\residual_samples\F2-replication-4-target.csv,gate0-20260820-001,NARROW
F2,4,null_control,null-like,X4,X5,0.05816598178320295,0.365,substantive\null_statistics\F2-replication-4-null_control.npy,12483363456047823126,10051084520231775345,13978144628278543459,9094318660457575875,full,0.8467739999996411,,,substantive\residual_samples\F2-replication-4-null_control.csv,gate0-20260820-001,NARROW
F2,5,target,non-null,X1,X2,0.49582139913588097,0.005,substantive\null_statistics\F2-replication-5-target.npy,4541898569945772712,11148154105792236036,4597134705303371118,15106326945244163094,full,0.8683629000006476,,,substantive\residual_samples\F2-replication-5-target.csv,gate0-20260820-001,NARROW
F2,5,null_control,null-like,X4,X5,0.04587797508867947,0.755,substantive\null_statistics\F2-replication-5-null_control.npy,4541898569945772712,12421886431553503033,9733854785700680992,17250992352148988448,full,0.8763533999990614,,,substantive\residual_samples\F2-replication-5-null_control.csv,gate0-20260820-001,NARROW
F2,6,target,non-null,X1,X2,0.516051309921047,0.005,substantive\null_statistics\F2-replication-6-target.npy,5153043802294848117,14798737244963837264,8878930103219162431,5120781055425183943,full,0.8845949999995355,,,substantive\residual_samples\F2-replication-6-target.csv,gate0-20260820-001,NARROW
F2,6,null_control,null-like,X4,X5,0.050015949801764256,0.58,substantive\null_statistics\F2-replication-6-null_control.npy,5153043802294848117,8605317690639919191,14348850894278558066,5220205753180459622,full,0.9021217000008619,,,substantive\residual_samples\F2-replication-6-null_control.csv,gate0-20260820-001,NARROW
F2,7,target,non-null,X1,X2,0.49537862013093764,0.005,substantive\null_statistics\F2-replication-7-target.npy,3231775056966276250,15873502419027858466,9752658327043667563,8780140123567864780,full,0.9416124999988824,,,substantive\residual_samples\F2-replication-7-target.csv,gate0-20260820-001,NARROW
F2,7,null_control,null-like,X4,X5,0.03024527054845734,1.0,substantive\null_statistics\F2-replication-7-null_control.npy,3231775056966276250,5626177250029825317,18298494646962384008,5016265773521203860,full,0.9096032000015839,,,substantive\residual_samples\F2-replication-7-null_control.csv,gate0-20260820-001,NARROW
F2,8,target,non-null,X1,X2,0.516461858123931,0.005,substantive\null_statistics\F2-replication-8-target.npy,6188624020822612795,11927019150923691258,15696231300817509369,4951212478296383374,full,0.8689249999988533,,,substantive\residual_samples\F2-replication-8-target.csv,gate0-20260820-001,NARROW
F2,8,null_control,null-like,X4,X5,0.07751054833824517,0.07,substantive\null_statistics\F2-replication-8-null_control.npy,6188624020822612795,8096984066499492679,3269825835805272221,14796330056401273851,full,0.8383954999990237,,,substantive\residual_samples\F2-replication-8-null_control.csv,gate0-20260820-001,NARROW
F2,9,target,non-null,X1,X2,0.5114172696475494,0.005,substantive\null_statistics\F2-replication-9-target.npy,16032662958221107009,3538300551109851549,16478653833282829537,5103496826875509121,full,0.867199399999663,,,substantive\residual_samples\F2-replication-9-target.csv,gate0-20260820-001,NARROW
F2,9,null_control,null-like,X4,X5,0.04841419668514194,0.7,substantive\null_statistics\F2-replication-9-null_control.npy,16032662958221107009,5127312042958003783,2548592591306020040,18044597230022329161,full,0.9167348999999376,,,substantive\residual_samples\F2-replication-9-null_control.csv,gate0-20260820-001,NARROW
F3,0,target,non-null,X1,X2,0.3396193530187431,0.005,substantive\null_statistics\F3-replication-0-target.npy,6557483003688391355,4411265723731123067,12320682812765271083,6756126765194102736,full,0.8470817999987048,,,substantive\residual_samples\F3-replication-0-target.csv,gate0-20260820-001,NARROW
F3,0,null_control,null-like,X4,X5,0.04901316465655374,0.69,substantive\null_statistics\F3-replication-0-null_control.npy,6557483003688391355,8276047029175669041,12512062558768762605,15021592459716046718,full,0.855706199999986,,,substantive\residual_samples\F3-replication-0-null_control.csv,gate0-20260820-001,NARROW
F3,1,target,non-null,X1,X2,0.34473600354712924,0.005,substantive\null_statistics\F3-replication-1-target.npy,10278074532824214305,9957652159471895266,1080369252671595231,14676528477178443469,full,0.8682413999995333,,,substantive\residual_samples\F3-replication-1-target.csv,gate0-20260820-001,NARROW
F3,1,null_control,null-like,X4,X5,0.049190661121169536,0.6,substantive\null_statistics\F3-replication-1-null_control.npy,10278074532824214305,13706555503987482456,14467479913195548573,17732947993603481360,full,0.8676623000010295,,,substantive\residual_samples\F3-replication-1-null_control.csv,gate0-20260820-001,NARROW
F3,2,target,non-null,X1,X2,0.3049569088090708,0.005,substantive\null_statistics\F3-replication-2-target.npy,11527654567141863065,5762293006513778102,40496793628650966,291591100854786589,full,0.8894814999985101,,,substantive\residual_samples\F3-replication-2-target.csv,gate0-20260820-001,NARROW
F3,2,null_control,null-like,X4,X5,0.07410707851189713,0.09,substantive\null_statistics\F3-replication-2-null_control.npy,11527654567141863065,13383397029901813688,3555135033603840331,10903815958309870508,full,0.8949833000006038,,,substantive\residual_samples\F3-replication-2-null_control.csv,gate0-20260820-001,NARROW
F3,3,target,non-null,X1,X2,0.32792089811824077,0.005,substantive\null_statistics\F3-replication-3-target.npy,9795415786143411589,9018655424686297334,17368734477867344824,3884333517524092958,full,0.8524998000011692,,,substantive\residual_samples\F3-replication-3-target.csv,gate0-20260820-001,NARROW
F3,3,null_control,null-like,X4,X5,0.060756718955635954,0.23,substantive\null_statistics\F3-replication-3-null_control.npy,9795415786143411589,8473650921795318764,2767837110530799175,13187962609400388518,full,0.855778700000883,,,substantive\residual_samples\F3-replication-3-null_control.csv,gate0-20260820-001,NARROW
F3,4,target,non-null,X1,X2,0.3316774197014433,0.005,substantive\null_statistics\F3-replication-4-target.npy,7950228720587838088,5620294275819780062,1027181195338289942,3020124846122057287,full,0.8556581000011647,,,substantive\residual_samples\F3-replication-4-target.csv,gate0-20260820-001,NARROW
F3,4,null_control,null-like,X4,X5,0.0507996527880596,0.635,substantive\null_statistics\F3-replication-4-null_control.npy,7950228720587838088,10816585438641013314,9407445914095436807,16263265385708479086,full,0.8587645999996312,,,substantive\residual_samples\F3-replication-4-null_control.csv,gate0-20260820-001,NARROW
F3,5,target,non-null,X1,X2,0.3445299890437326,0.005,substantive\null_statistics\F3-replication-5-target.npy,2875055779234164759,14023323857534544086,15708221234653686489,17722707591457457401,full,0.8558764999997948,,,substantive\residual_samples\F3-replication-5-target.csv,gate0-20260820-001,NARROW
F3,5,null_control,null-like,X4,X5,0.06016786940892721,0.255,substantive\null_statistics\F3-replication-5-null_control.npy,2875055779234164759,12855901379862317718,10988335047683395240,17672891306156001348,full,0.8517181000006531,,,substantive\residual_samples\F3-replication-5-null_control.csv,gate0-20260820-001,NARROW
F3,6,target,non-null,X1,X2,0.2947412858378994,0.005,substantive\null_statistics\F3-replication-6-target.npy,8346665654685663301,9712853121139406060,18045956030092062121,16693955866479084894,full,0.8560983000006672,,,substantive\residual_samples\F3-replication-6-target.csv,gate0-20260820-001,NARROW
F3,6,null_control,null-like,X4,X5,0.052367848111588663,0.505,substantive\null_statistics\F3-replication-6-null_control.npy,8346665654685663301,3431040544586063650,225674499583701846,14945504506006303752,full,0.8721203000004607,,,substantive\residual_samples\F3-replication-6-null_control.csv,gate0-20260820-001,NARROW
F3,7,target,non-null,X1,X2,0.31299264968607055,0.005,substantive\null_statistics\F3-replication-7-target.npy,12432201171203411250,16986228963783733074,1177911481258192823,604819755733475620,full,0.8581374000004871,,,substantive\residual_samples\F3-replication-7-target.csv,gate0-20260820-001,NARROW
F3,7,null_control,null-like,X4,X5,0.09153528944561912,0.005,substantive\null_statistics\F3-replication-7-null_control.npy,12432201171203411250,58244176105784148,14122840013961663128,18169396495158673003,full,0.8521498999998585,,,substantive\residual_samples\F3-replication-7-null_control.csv,gate0-20260820-001,NARROW
F3,8,target,non-null,X1,X2,0.294245638006328,0.005,substantive\null_statistics\F3-replication-8-target.npy,17037736742267225388,9422768878863866051,17689629525302936677,15663942873565647682,full,1.1014512999990984,,,substantive\residual_samples\F3-replication-8-target.csv,gate0-20260820-001,NARROW
F3,8,null_control,null-like,X4,X5,0.060152261764319336,0.275,substantive\null_statistics\F3-replication-8-null_control.npy,17037736742267225388,5307938516151799974,15822260206612907653,10557982510503323996,full,0.9981478999998217,,,substantive\residual_samples\F3-replication-8-null_control.csv,gate0-20260820-001,NARROW
F3,9,target,non-null,X1,X2,0.3297169704504836,0.005,substantive\null_statistics\F3-replication-9-target.npy,11791826831806719546,6312770010093556783,514618936486548770,7508185766241440496,full,0.8577972999992198,,,substantive\residual_samples\F3-replication-9-target.csv,gate0-20260820-001,NARROW
F3,9,null_control,null-like,X4,X5,0.047295182734493076,0.79,substantive\null_statistics\F3-replication-9-null_control.npy,11791826831806719546,14053393265363367231,40523089267579155,9234132806294479968,full,0.851718300000357,,,substantive\residual_samples\F3-replication-9-null_control.csv,gate0-20260820-001,NARROW
F4,0,target,null-like,X1,X3,0.05616784677536931,0.38,substantive\null_statistics\F4-replication-0-target.npy,2443196477324478766,10837995322525883122,7832225708790183548,1487796855842254990,full,0.8506254000003537,,,substantive\residual_samples\F4-replication-0-target.csv,gate0-20260820-001,NARROW
F4,0,null_control,null-like,X4,X5,0.05379348694067518,0.45,substantive\null_statistics\F4-replication-0-null_control.npy,2443196477324478766,12732636065274319670,17917017773202347091,12570101281004145466,full,0.9140432999993209,,,substantive\residual_samples\F4-replication-0-null_control.csv,gate0-20260820-001,NARROW
F4,1,target,null-like,X1,X3,0.04911316567263856,0.605,substantive\null_statistics\F4-replication-1-target.npy,14246641884112735087,13263777611056506123,13170216422539838576,6623653018086256206,full,0.8533174999993207,,,substantive\residual_samples\F4-replication-1-target.csv,gate0-20260820-001,NARROW
F4,1,null_control,null-like,X4,X5,0.04158243992087095,0.925,substantive\null_statistics\F4-replication-1-null_control.npy,14246641884112735087,9931305076074262609,5372879514561882055,17889467023885940162,full,0.8492300999987492,,,substantive\residual_samples\F4-replication-1-null_control.csv,gate0-20260820-001,NARROW
F4,2,target,null-like,X1,X3,0.06211620030059932,0.21,substantive\null_statistics\F4-replication-2-target.npy,12199911805230876284,10632367223277509939,12588056931105193424,4249464079529546428,full,0.8466602999997122,,,substantive\residual_samples\F4-replication-2-target.csv,gate0-20260820-001,NARROW
F4,2,null_control,null-like,X4,X5,0.06200216254548821,0.215,substantive\null_statistics\F4-replication-2-null_control.npy,12199911805230876284,17055153142352035278,11020509393260758857,7304395525534141949,full,0.8491107999998349,,,substantive\residual_samples\F4-replication-2-null_control.csv,gate0-20260820-001,NARROW
F4,3,target,null-like,X1,X3,0.06088387563154724,0.28,substantive\null_statistics\F4-replication-3-target.npy,7081175512713621092,15580796450614782364,3865910952414413977,12461132577528236834,full,0.84530740000082,,,substantive\residual_samples\F4-replication-3-target.csv,gate0-20260820-001,NARROW
F4,3,null_control,null-like,X4,X5,0.06037384537510522,0.245,substantive\null_statistics\F4-replication-3-null_control.npy,7081175512713621092,12624382947463379778,3252495565212403258,2034235249160450978,full,0.8485220999991725,,,substantive\residual_samples\F4-replication-3-null_control.csv,gate0-20260820-001,NARROW
F4,4,target,null-like,X1,X3,0.06528208514626523,0.19,substantive\null_statistics\F4-replication-4-target.npy,14285988985354903525,4229322112454681110,16671552592941171094,8951656072237935281,full,0.8519895999997971,,,substantive\residual_samples\F4-replication-4-target.csv,gate0-20260820-001,NARROW
F4,4,null_control,null-like,X4,X5,0.05945017758031389,0.28,substantive\null_statistics\F4-replication-4-null_control.npy,14285988985354903525,3446863715812149576,4741720474796009414,2684360987448744643,full,0.8503639999998995,,,substantive\residual_samples\F4-replication-4-null_control.csv,gate0-20260820-001,NARROW
F4,5,target,null-like,X1,X3,0.06055876562656022,0.29,substantive\null_statistics\F4-replication-5-target.npy,18399291160105471543,18235797587660325638,14405958364537457417,12387697361655629365,full,0.8508959000009781,,,substantive\residual_samples\F4-replication-5-target.csv,gate0-20260820-001,NARROW
F4,5,null_control,null-like,X4,X5,0.04395985525644577,0.87,substantive\null_statistics\F4-replication-5-null_control.npy,18399291160105471543,7444183623603559481,677235622211470120,8590969696983880971,full,0.8497071000001597,,,substantive\residual_samples\F4-replication-5-null_control.csv,gate0-20260820-001,NARROW
F4,6,target,null-like,X1,X3,0.051850122331351674,0.57,substantive\null_statistics\F4-replication-6-target.npy,11653563730559387515,6544009624211723274,7860825076459466930,11599916644208982596,full,0.8501212999999552,,,substantive\residual_samples\F4-replication-6-target.csv,gate0-20260820-001,NARROW
F4,6,null_control,null-like,X4,X5,0.05214261844091013,0.515,substantive\null_statistics\F4-replication-6-null_control.npy,11653563730559387515,18390062917244414460,11335170623936012919,2453584514438031810,full,0.84757879999961,,,substantive\residual_samples\F4-replication-6-null_control.csv,gate0-20260820-001,NARROW
F4,7,target,null-like,X1,X3,0.06567103261312168,0.11,substantive\null_statistics\F4-replication-7-target.npy,10166786729297821611,12506523540795572581,2709524015379756746,9647353422203225805,full,0.8484764000004361,,,substantive\residual_samples\F4-replication-7-target.csv,gate0-20260820-001,NARROW
F4,7,null_control,null-like,X4,X5,0.0515022466807359,0.6,substantive\null_statistics\F4-replication-7-null_control.npy,10166786729297821611,8963296953337233752,5754917480448163239,8418279271629183286,full,0.8514773000006244,,,substantive\residual_samples\F4-replication-7-null_control.csv,gate0-20260820-001,NARROW
F4,8,target,null-like,X1,X3,0.05550292535189779,0.44,substantive\null_statistics\F4-replication-8-target.npy,3496857566828673823,17382027851680269425,5697443793471102701,9309630308328734917,full,0.8503072000003158,,,substantive\residual_samples\F4-replication-8-target.csv,gate0-20260820-001,NARROW
F4,8,null_control,null-like,X4,X5,0.04870555964957776,0.685,substantive\null_statistics\F4-replication-8-null_control.npy,3496857566828673823,727337223340875934,1164791169288603261,15182527432846349033,full,0.8597403000003396,,,substantive\residual_samples\F4-replication-8-null_control.csv,gate0-20260820-001,NARROW
F4,9,target,null-like,X1,X3,0.0818514821002181,0.03,substantive\null_statistics\F4-replication-9-target.npy,335780212572126421,14626398818554560828,17711679170415323933,2027567502663377237,full,0.8935751999997592,,,substantive\residual_samples\F4-replication-9-target.csv,gate0-20260820-001,NARROW
F4,9,null_control,null-like,X4,X5,0.07699463794442088,0.08,substantive\null_statistics\F4-replication-9-null_control.npy,335780212572126421,9514960723425107202,6639662763265060054,3797825350953033153,full,0.8522541000002093,,,substantive\residual_samples\F4-replication-9-null_control.csv,gate0-20260820-001,NARROW
F5,0,target,null-like,X1,X2,0.08423076347468791,0.03,substantive\null_statistics\F5-replication-0-target.npy,17011676520253766165,13658704027320589719,1365958000074632451,2923629173609411256,full,0.8831047000003309,,,substantive\residual_samples\F5-replication-0-target.csv,gate0-20260820-001,NARROW
F5,0,null_control,null-like,X4,X5,0.05132619062976849,0.64,substantive\null_statistics\F5-replication-0-null_control.npy,17011676520253766165,9976303062278571808,12078703140803773521,16747759356023005507,full,0.8509045999999216,,,substantive\residual_samples\F5-replication-0-null_control.csv,gate0-20260820-001,NARROW
F5,1,target,null-like,X1,X2,0.05239255227658272,0.435,substantive\null_statistics\F5-replication-1-target.npy,907355571301893285,6523042752889323562,7130422219650621251,10699702354276786059,full,0.8558462999990297,,,substantive\residual_samples\F5-replication-1-target.csv,gate0-20260820-001,NARROW
F5,1,null_control,null-like,X4,X5,0.04714582520433638,0.785,substantive\null_statistics\F5-replication-1-null_control.npy,907355571301893285,15211865242424310587,17454928519171857817,14274916176439478618,full,0.8565476999992825,,,substantive\residual_samples\F5-replication-1-null_control.csv,gate0-20260820-001,NARROW
F5,2,target,null-like,X1,X2,0.04804703443396737,0.73,substantive\null_statistics\F5-replication-2-target.npy,4902721770123936309,11447473953775191406,13840448958519060199,9544997749675031482,full,0.8516404000001785,,,substantive\residual_samples\F5-replication-2-target.csv,gate0-20260820-001,NARROW
F5,2,null_control,null-like,X4,X5,0.05264806756879554,0.465,substantive\null_statistics\F5-replication-2-null_control.npy,4902721770123936309,103420805769468646,1929467453107393599,8709955870287876623,full,0.8617893999999069,,,substantive\residual_samples\F5-replication-2-null_control.csv,gate0-20260820-001,NARROW
F5,3,target,null-like,X1,X2,0.06509109276441354,0.18,substantive\null_statistics\F5-replication-3-target.npy,2258311645104758396,6070174849896599286,6502072527987769592,8868792454644618600,full,0.912909499998932,,,substantive\residual_samples\F5-replication-3-target.csv,gate0-20260820-001,NARROW
F5,3,null_control,null-like,X4,X5,0.06643619738890498,0.165,substantive\null_statistics\F5-replication-3-null_control.npy,2258311645104758396,799602883088284648,17186336463628544732,13356017086541486029,full,0.8828799000002618,,,substantive\residual_samples\F5-replication-3-null_control.csv,gate0-20260820-001,NARROW
F5,4,target,null-like,X1,X2,0.05703961488713042,0.4,substantive\null_statistics\F5-replication-4-target.npy,3758591722238466272,697793342334939132,1680917286415074479,13142294423585302627,full,0.8675054000013915,,,substantive\residual_samples\F5-replication-4-target.csv,gate0-20260820-001,NARROW
F5,4,null_control,null-like,X4,X5,0.05166945755805221,0.615,substantive\null_statistics\F5-replication-4-null_control.npy,3758591722238466272,12515660117907568918,2213796613385912609,12374756352608847664,full,0.8556823000017175,,,substantive\residual_samples\F5-replication-4-null_control.csv,gate0-20260820-001,NARROW
F5,5,target,null-like,X1,X2,0.0468001620706999,0.75,substantive\null_statistics\F5-replication-5-target.npy,14462666774071129939,14624399601090129794,1099764700438222606,3222441119946267099,full,0.8502281999990373,,,substantive\residual_samples\F5-replication-5-target.csv,gate0-20260820-001,NARROW
F5,5,null_control,null-like,X4,X5,0.044707756785339156,0.79,substantive\null_statistics\F5-replication-5-null_control.npy,14462666774071129939,17419592689123871030,6525551232917219627,5729849156206550596,full,0.8559148000003916,,,substantive\residual_samples\F5-replication-5-null_control.csv,gate0-20260820-001,NARROW
F5,6,target,null-like,X1,X2,0.05317633454672583,0.525,substantive\null_statistics\F5-replication-6-target.npy,14053984986954855144,13969991343175788146,12901661780747187834,7719207676190896512,full,0.8473816999994597,,,substantive\residual_samples\F5-replication-6-target.csv,gate0-20260820-001,NARROW
F5,6,null_control,null-like,X4,X5,0.04904253460784727,0.715,substantive\null_statistics\F5-replication-6-null_control.npy,14053984986954855144,13784571322757183167,11844704726599957992,5053094615486341926,full,0.8493976000008843,,,substantive\residual_samples\F5-replication-6-null_control.csv,gate0-20260820-001,NARROW
F5,7,target,null-like,X1,X2,0.04135931973340154,0.945,substantive\null_statistics\F5-replication-7-target.npy,15751486892522853942,14845264344953026916,5059933833007390070,236190741265911559,full,0.8534592000014527,,,substantive\residual_samples\F5-replication-7-target.csv,gate0-20260820-001,NARROW
F5,7,null_control,null-like,X4,X5,0.04709613638032798,0.735,substantive\null_statistics\F5-replication-7-null_control.npy,15751486892522853942,14532785315855633330,3562078225512936394,8454607833419793155,full,0.8481040000006033,,,substantive\residual_samples\F5-replication-7-null_control.csv,gate0-20260820-001,NARROW
F5,8,target,null-like,X1,X2,0.04717996446654841,0.705,substantive\null_statistics\F5-replication-8-target.npy,12705243278572307037,16841438291505967432,8763957880535755388,7135042983059182849,full,0.8504816999993636,,,substantive\residual_samples\F5-replication-8-target.csv,gate0-20260820-001,NARROW
F5,8,null_control,null-like,X4,X5,0.046173275629804986,0.755,substantive\null_statistics\F5-replication-8-null_control.npy,12705243278572307037,4999705054102325291,170736973050432428,3536088449129502158,full,0.8615148000008048,,,substantive\residual_samples\F5-replication-8-null_control.csv,gate0-20260820-001,NARROW
F5,9,target,null-like,X1,X2,0.06006770842844842,0.275,substantive\null_statistics\F5-replication-9-target.npy,17669087440030044720,4126229601658582237,9352243205653763266,6670482471000441093,full,0.8567425000001094,,,substantive\residual_samples\F5-replication-9-target.csv,gate0-20260820-001,NARROW
