source_record_index,run_id,arm,fixture_id,replication,evaluation_rows,fixture_seed,residual_seed,evaluation_seed,left_seed,right_seed,permutation_seed
31,null-calibration-20260820-001,fitted,F5,1,2000,1140140506340360697,17708401061689124292,13174338724684473212,,,646580656984034547
32,null-calibration-20260820-001,fitted,F6,1,250,12020900232242556064,16354807700361690978,14512300451702548674,,,7943764893153242836
33,null-calibration-20260820-001,fitted,F6,1,500,12020900232242556064,16354807700361690978,15983600014899888229,,,10375596068839736447
34,null-calibration-20260820-001,fitted,F6,1,1000,12020900232242556064,16354807700361690978,16370418503779262836,,,16380570176284908476
35,null-calibration-20260820-001,fitted,F6,1,2000,12020900232242556064,16354807700361690978,10183504799894706017,,,12702455530148579180
36,null-calibration-20260820-001,reference,reference,1,250,,,,4096871879031441958,10652099727669041189,4447924494023652742
37,null-calibration-20260820-001,reference,reference,1,500,,,,10024266221603727610,7599229918970142260,1806425201012991379
38,null-calibration-20260820-001,reference,reference,1,1000,,,,15042140726430518149,17708497116170476961,4962168671479525926
39,null-calibration-20260820-001,reference,reference,1,2000,,,,1640747797266115288,11769313036943380939,15838657763795684704
40,null-calibration-20260820-001,fitted,F1,2,250,3569878143749029310,11365098911466217260,3280984028559918750,,,6780253162454302994
41,null-calibration-20260820-001,fitted,F1,2,500,3569878143749029310,11365098911466217260,16997115682716958022,,,11046146698029387618
42,null-calibration-20260820-001,fitted,F1,2,1000,3569878143749029310,11365098911466217260,3952502581455167973,,,199708578873909306
43,null-calibration-20260820-001,fitted,F1,2,2000,3569878143749029310,11365098911466217260,6153346630853623278,,,9325514072322408257
44,null-calibration-20260820-001,fitted,F4,2,250,15675211521509045962,14066579283336276104,5283438304392102239,,,15104876576134536340
45,null-calibration-20260820-001,fitted,F4,2,500,15675211521509045962,14066579283336276104,5983090536941951359,,,3957174117579900541
46,null-calibration-20260820-001,fitted,F4,2,1000,15675211521509045962,14066579283336276104,6922242973204677653,,,5823638402631577685
47,null-calibration-20260820-001,fitted,F4,2,2000,15675211521509045962,14066579283336276104,6225468544223174879,,,10458905351170906859
48,null-calibration-20260820-001,fitted,F5,2,250,2519313312016854296,1557254751604193349,15132755397188641484,,,11346220758826100087
49,null-calibration-20260820-001,fitted,F5,2,500,2519313312016854296,1557254751604193349,2069640755117990706,,,14450005611473951980
50,null-calibration-20260820-001,fitted,F5,2,1000,2519313312016854296,1557254751604193349,1303303283024401464,,,1501371915318221107
51,null-calibration-20260820-001,fitted,F5,2,2000,2519313312016854296,1557254751604193349,6499561970315270099,,,14388355595064086509
52,null-calibration-20260820-001,fitted,F6,2,250,10190273551048286950,11100189876950204820,1161745334334347251,,,13069892887201598288
53,null-calibration-20260820-001,fitted,F6,2,500,10190273551048286950,11100189876950204820,6522152800052190919,,,3489617249600098282
54,null-calibration-20260820-001,fitted,F6,2,1000,10190273551048286950,11100189876950204820,15596621160448819804,,,7655831067125211717
55,null-calibration-20260820-001,fitted,F6,2,2000,10190273551048286950,11100189876950204820,16614620850169232800,,,4855290580897561181
56,null-calibration-20260820-001,reference,reference,2,250,,,,12023466681351893306,6420331773169791439,10159237798571537485
57,null-calibration-20260820-001,reference,reference,2,500,,,,4349595178558725759,7175914264434003333,3804827399166987390
58,null-calibration-20260820-001,reference,reference,2,1000,,,,15185770755822783621,6971445713118833256,11338873633026750128
59,null-calibration-20260820-001,reference,reference,2,2000,,,,4567540082641574205,2868209187341578726,3247267120567800706
60,null-calibration-20260820-001,fitted,F1,3,250,13756096017123067317,1309112201065251263,2348849334626394728,,,7253711586394600883
61,null-calibration-20260820-001,fitted,F1,3,500,13756096017123067317,1309112201065251263,14391952007982205960,,,17728120814171455141
62,null-calibration-20260820-001,fitted,F1,3,1000,13756096017123067317,1309112201065251263,6570981416319627258,,,15514834412892336132
63,null-calibration-20260820-001,fitted,F1,3,2000,13756096017123067317,1309112201065251263,2290619437305927711,,,17080901408049631256
64,null-calibration-20260820-001,fitted,F4,3,250,2441928413134253465,11267904951553355182,263209010104849207,,,2873478136329909439
65,null-calibration-20260820-001,fitted,F4,3,500,2441928413134253465,11267904951553355182,11412631142884571311,,,10842820087279474148
66,null-calibration-20260820-001,fitted,F4,3,1000,2441928413134253465,11267904951553355182,9591817297050172734,,,12303252709853810392
67,null-calibration-20260820-001,fitted,F4,3,2000,2441928413134253465,11267904951553355182,9786693489357018558,,,10250639379642127023
68,null-calibration-20260820-001,fitted,F5,3,250,3290001563877249693,9093301938671167909,16937461452306007538,,,8878555423441101896
69,null-calibration-20260820-001,fitted,F5,3,500,3290001563877249693,9093301938671167909,72874910731928406,,,11542314342212341808
70,null-calibration-20260820-001,fitted,F5,3,1000,3290001563877249693,9093301938671167909,4005936526123622054,,,1159233394365673797
71,null-calibration-20260820-001,fitted,F5,3,2000,3290001563877249693,9093301938671167909,14928025238777169045,,,7228293297057139789
72,null-calibration-20260820-001,fitted,F6,3,250,4763886227047618086,13442416523269411204,8629837555689585928,,,13088798455018747268
73,null-calibration-20260820-001,fitted,F6,3,500,4763886227047618086,13442416523269411204,12277852540239140238,,,3204709838843035950
74,null-calibration-20260820-001,fitted,F6,3,1000,4763886227047618086,13442416523269411204,6163573228019300783,,,13894617575956660810
75,null-calibration-20260820-001,fitted,F6,3,2000,4763886227047618086,13442416523269411204,9064974573336772054,,,8407180376122848356
76,null-calibration-20260820-001,reference,reference,3,250,,,,11682619297755603853,6689428021985191575,12029114358446818991
77,null-calibration-20260820-001,reference,reference,3,500,,,,4032111493215088246,11886126160998460124,7563318620904364266
78,null-calibration-20260820-001,reference,reference,3,1000,,,,12837014955883606596,9001253074465342522,6023314649303253102
79,null-calibration-20260820-001,reference,reference,3,2000,,,,2992664348749173858,13193522023994232790,10353593441836441951
80,null-calibration-20260820-001,fitted,F1,4,250,12877446445561489837,17337852888370313916,8679421789119518853,,,14336008620051443637
81,null-calibration-20260820-001,fitted,F1,4,500,12877446445561489837,17337852888370313916,15666902431980142369,,,13600617177475589367
82,null-calibration-20260820-001,fitted,F1,4,1000,12877446445561489837,17337852888370313916,10714457797157716464,,,1057945267097647136
83,null-calibration-20260820-001,fitted,F1,4,2000,12877446445561489837,17337852888370313916,12791112731589988575,,,8619293460818511013
84,null-calibration-20260820-001,fitted,F4,4,250,6859987430196965634,14269217972484979875,11105980444260014957,,,11029957177587463788
85,null-calibration-20260820-001,fitted,F4,4,500,6859987430196965634,14269217972484979875,7698355982319910859,,,9533711478569808667
86,null-calibration-20260820-001,fitted,F4,4,1000,6859987430196965634,14269217972484979875,4847958970796658755,,,14775928340936837787
87,null-calibration-20260820-001,fitted,F4,4,2000,6859987430196965634,14269217972484979875,5370421223052867262,,,6050306269343077839
88,null-calibration-20260820-001,fitted,F5,4,250,7031320316446228275,13678972575640294325,11711154587581254134,,,8616168423004712194
89,null-calibration-20260820-001,fitted,F5,4,500,7031320316446228275,13678972575640294325,14630592029551447720,,,15642899312793620350
90,null-calibration-20260820-001,fitted,F5,4,1000,7031320316446228275,13678972575640294325,7420879974202339368,,,5855921140634721580
91,null-calibration-20260820-001,fitted,F5,4,2000,7031320316446228275,13678972575640294325,10742889721540175359,,,7567867212108845957
92,null-calibration-20260820-001,fitted,F6,4,250,18010297895571115582,7752360853435053920,9954471187767074107,,,7472559344805981600
93,null-calibration-20260820-001,fitted,F6,4,500,18010297895571115582,7752360853435053920,4496487153123991255,,,17200553837434893133
94,null-calibration-20260820-001,fitted,F6,4,1000,18010297895571115582,7752360853435053920,15413823348256103631,,,18210209300478642650
95,null-calibration-20260820-001,fitted,F6,4,2000,18010297895571115582,7752360853435053920,17491307803151901271,,,3456106607117785628
96,null-calibration-20260820-001,reference,reference,4,250,,,,8469237737379791488,15790414762632129097,15145870026567226280
97,null-calibration-20260820-001,reference,reference,4,500,,,,1067118280513582650,1331631220201725175,3505154024598531990
98,null-calibration-20260820-001,reference,reference,4,1000,,,,14048157764818397825,17020619800453899607,8093265916853552125
99,null-calibration-20260820-001,reference,reference,4,2000,,,,3154979416211997006,11071141246986911955,10022712760122930034
100,null-calibration-20260820-001,fitted,F1,5,250,5457290102177033418,188569411598817424,4598855004502832832,,,3364651675379375770
101,null-calibration-20260820-001,fitted,F1,5,500,5457290102177033418,188569411598817424,1618450886852983420,,,4266415088222634496
102,null-calibration-20260820-001,fitted,F1,5,1000,5457290102177033418,188569411598817424,17737280255402272996,,,2212718677989706614
103,null-calibration-20260820-001,fitted,F1,5,2000,5457290102177033418,188569411598817424,13837704696214774464,,,14748534802187146281
104,null-calibration-20260820-001,fitted,F4,5,250,18125579368422396290,15565939219087598283,9161121273477691081,,,8533720417461623287
105,null-calibration-20260820-001,fitted,F4,5,500,18125579368422396290,15565939219087598283,10406905898988630170,,,2487871383457953690
106,null-calibration-20260820-001,fitted,F4,5,1000,18125579368422396290,15565939219087598283,8681543071355413526,,,18178235231136503396
107,null-calibration-20260820-001,fitted,F4,5,2000,18125579368422396290,15565939219087598283,4167991324449441086,,,1909216527989151814
108,null-calibration-20260820-001,fitted,F5,5,250,12105255633630111813,16263188956552095361,10968223324955008392,,,11576623901194011278
109,null-calibration-20260820-001,fitted,F5,5,500,12105255633630111813,16263188956552095361,1279692213075316531,,,8044370184106927212
110,null-calibration-20260820-001,fitted,F5,5,1000,12105255633630111813,16263188956552095361,14168297299391342019,,,9227751056194966973
111,null-calibration-20260820-001,fitted,F5,5,2000,12105255633630111813,16263188956552095361,2631194879054400635,,,10156468779500607491
112,null-calibration-20260820-001,fitted,F6,5,250,2368052181499087071,15515326485292208277,4811628072571717100,,,5093719542473549400
113,null-calibration-20260820-001,fitted,F6,5,500,2368052181499087071,15515326485292208277,18204533621254357205,,,1603627822624198086
114,null-calibration-20260820-001,fitted,F6,5,1000,2368052181499087071,15515326485292208277,2472013819051400555,,,1103628449012399258
115,null-calibration-20260820-001,fitted,F6,5,2000,2368052181499087071,15515326485292208277,3650082340641390524,,,2364942039165738120
116,null-calibration-20260820-001,reference,reference,5,250,,,,11794328101922792354,12023814862693149631,5672959150871299338
117,null-calibration-20260820-001,reference,reference,5,500,,,,16630109948366967912,11182166610535916598,13489421894882147816
118,null-calibration-20260820-001,reference,reference,5,1000,,,,11229431397857031809,14098243763514501404,17503097190596206239
119,null-calibration-20260820-001,reference,reference,5,2000,,,,14407632464500586066,13787254050478476199,13678887534322221201
120,null-calibration-20260820-001,fitted,F1,6,250,6102558128020182178,13308685898542181412,9793694042374231328,,,14121936160296353646
121,null-calibration-20260820-001,fitted,F1,6,500,6102558128020182178,13308685898542181412,3312428617070078827,,,11366061199289434338
122,null-calibration-20260820-001,fitted,F1,6,1000,6102558128020182178,13308685898542181412,4382288335264607342,,,3981452574869607949
123,null-calibration-20260820-001,fitted,F1,6,2000,6102558128020182178,13308685898542181412,14165105158863013429,,,1236810238883797739
124,null-calibration-20260820-001,fitted,F4,6,250,7283506846096550484,1820611529256814635,4830848699228262779,,,3002848337796512007
125,null-calibration-20260820-001,fitted,F4,6,500,7283506846096550484,1820611529256814635,6836569096627485953,,,7721942475216761981
126,null-calibration-20260820-001,fitted,F4,6,1000,7283506846096550484,1820611529256814635,5440230546669510394,,,17270468677102063681
127,null-calibration-20260820-001,fitted,F4,6,2000,7283506846096550484,1820611529256814635,12894269135191485196,,,11774234699450748173
128,null-calibration-20260820-001,fitted,F5,6,250,8055561705617953057,7671303947915522401,12515168333279633539,,,12272375702510200089
129,null-calibration-20260820-001,fitted,F5,6,500,8055561705617953057,7671303947915522401,8629082562642534665,,,10354453117214297537
130,null-calibration-20260820-001,fitted,F5,6,1000,8055561705617953057,7671303947915522401,9644058968151370535,,,11244528065892473170
131,null-calibration-20260820-001,fitted,F5,6,2000,8055561705617953057,7671303947915522401,6778242709068176697,,,4573990023238299605
132,null-calibration-20260820-001,fitted,F6,6,250,11872425009848937548,2384371764031194488,216715169764408388,,,3585261205132394625
133,null-calibration-20260820-001,fitted,F6,6,500,11872425009848937548,2384371764031194488,17746337605769638916,,,14384938040411690145
134,null-calibration-20260820-001,fitted,F6,6,1000,11872425009848937548,2384371764031194488,16123216149911463525,,,4155749372695162892
135,null-calibration-20260820-001,fitted,F6,6,2000,11872425009848937548,2384371764031194488,1026983196261157636,,,6957344576856271325
136,null-calibration-20260820-001,reference,reference,6,250,,,,474878090820128883,3050245235893777417,17406071885301733436
137,null-calibration-20260820-001,reference,reference,6,500,,,,11710740401479516992,4212362658403508201,3799585748585302671
138,null-calibration-20260820-001,reference,reference,6,1000,,,,7843625917934169425,901375732440433281,26314775032581454
139,null-calibration-20260820-001,reference,reference,6,2000,,,,8501251933459426683,1079300982784738815,7571509818058348344
140,null-calibration-20260820-001,fitted,F1,7,250,17601269575130849001,6697541696787757121,8316128022553120956,,,4166082345960659872
141,null-calibration-20260820-001,fitted,F1,7,500,17601269575130849001,6697541696787757121,5774844376999638551,,,16481087077717221165
142,null-calibration-20260820-001,fitted,F1,7,1000,17601269575130849001,6697541696787757121,16504490694513069439,,,13464555404059302686
143,null-calibration-20260820-001,fitted,F1,7,2000,17601269575130849001,6697541696787757121,5560528437672670538,,,14075835745732648893
144,null-calibration-20260820-001,fitted,F4,7,250,14779283629475480789,9718878122589351925,7711001739810483718,,,2932609583298713155
145,null-calibration-20260820-001,fitted,F4,7,500,14779283629475480789,9718878122589351925,2764393447554346606,,,3798144348308428358
146,null-calibration-20260820-001,fitted,F4,7,1000,14779283629475480789,9718878122589351925,1642475061095206262,,,1806616102684817282
147,null-calibration-20260820-001,fitted,F4,7,2000,14779283629475480789,9718878122589351925,15972270848516322006,,,3480540564477809206
148,null-calibration-20260820-001,fitted,F5,7,250,3553592077791088219,12487575355206016709,2922095272777619770,,,1360363172366549347
149,null-calibration-20260820-001,fitted,F5,7,500,3553592077791088219,12487575355206016709,13641155395405183660,,,5540489055801844353
150,null-calibration-20260820-001,fitted,F5,7,1000,3553592077791088219,12487575355206016709,17299906105806225663,,,10142672908255808472
151,null-calibration-20260820-001,fitted,F5,7,2000,3553592077791088219,12487575355206016709,13389333502525521856,,,14011531697889026816
152,null-calibration-20260820-001,fitted,F6,7,250,5096464489467133372,548122621235037117,10513856089349256230,,,7866502839130686123
153,null-calibration-20260820-001,fitted,F6,7,500,5096464489467133372,548122621235037117,9064207449418355986,,,7551960487222721718
154,null-calibration-20260820-001,fitted,F6,7,1000,5096464489467133372,548122621235037117,3862631582993597906,,,14486938931557007229
155,null-calibration-20260820-001,fitted,F6,7,2000,5096464489467133372,548122621235037117,17208298726427452661,,,6203999478820245013
156,null-calibration-20260820-001,reference,reference,7,250,,,,16438393371999783603,10823896814221449130,17519301793351225564
157,null-calibration-20260820-001,reference,reference,7,500,,,,15502456437618278998,18029444699262817353,6699114817360877198
158,null-calibration-20260820-001,reference,reference,7,1000,,,,2832714646095658148,2376926250517155955,16665357375439926828
159,null-calibration-20260820-001,reference,reference,7,2000,,,,6933498797008640066,2594955918905238705,10747562500709180808
160,null-calibration-20260820-001,fitted,F1,8,250,691841116092506319,5086284532089712915,1018961036175971804,,,15700044016871033151
161,null-calibration-20260820-001,fitted,F1,8,500,691841116092506319,5086284532089712915,10783183034777460816,,,1348860867524267605
162,null-calibration-20260820-001,fitted,F1,8,1000,691841116092506319,5086284532089712915,8501779410334205154,,,17624278208879931256
163,null-calibration-20260820-001,fitted,F1,8,2000,691841116092506319,5086284532089712915,169042901472774186,,,10517366895622338479
164,null-calibration-20260820-001,fitted,F4,8,250,16060861550200660337,5227738374517036321,11358825553714361038,,,2921040758290348255
165,null-calibration-20260820-001,fitted,F4,8,500,16060861550200660337,5227738374517036321,4710853357666529164,,,4334283086170217869
166,null-calibration-20260820-001,fitted,F4,8,1000,16060861550200660337,5227738374517036321,211780190961097669,,,7599540023493329465
167,null-calibration-20260820-001,fitted,F4,8,2000,16060861550200660337,5227738374517036321,13370385406349331490,,,3876289133659574210
168,null-calibration-20260820-001,fitted,F5,8,250,2186424366446503533,6768194557615669080,2022438109533375717,,,16616400370785080554
169,null-calibration-20260820-001,fitted,F5,8,500,2186424366446503533,6768194557615669080,12042516529216669246,,,1732450954878225472
170,null-calibration-20260820-001,fitted,F5,8,1000,2186424366446503533,6768194557615669080,10741347595592277705,,,16811329823571521304
171,null-calibration-20260820-001,fitted,F5,8,2000,2186424366446503533,6768194557615669080,4457838747020596385,,,12633574119664558851
172,null-calibration-20260820-001,fitted,F6,8,250,14920248677671361933,15285375590382677769,8893418487091023124,,,5212632403398727752
173,null-calibration-20260820-001,fitted,F6,8,500,14920248677671361933,15285375590382677769,9994795602412810528,,,11761877546875403048
174,null-calibration-20260820-001,fitted,F6,8,1000,14920248677671361933,15285375590382677769,4561082162994410691,,,16161688232387461944
175,null-calibration-20260820-001,fitted,F6,8,2000,14920248677671361933,15285375590382677769,3935127973195902648,,,17580729451975141648
176,null-calibration-20260820-001,reference,reference,8,250,,,,5263205536489195003,7756034358372247666,6813004766762126507
177,null-calibration-20260820-001,reference,reference,8,500,,,,16650202217992818645,11052131466522198594,757792411489514831
178,null-calibration-20260820-001,reference,reference,8,1000,,,,17757344577133671192,6935307523212696958,4048933064436847923
179,null-calibration-20260820-001,reference,reference,8,2000,,,,15600358936056901755,12902992051256969982,6488800918509990913
180,null-calibration-20260820-001,fitted,F1,9,250,13694446063747130655,15566833895092642032,10183718268919037281,,,6597669072597620636
181,null-calibration-20260820-001,fitted,F1,9,500,13694446063747130655,15566833895092642032,2778255821862706985,,,37122434800164440
182,null-calibration-20260820-001,fitted,F1,9,1000,13694446063747130655,15566833895092642032,12101910596737615537,,,9063002291174024638
183,null-calibration-20260820-001,fitted,F1,9,2000,13694446063747130655,15566833895092642032,12255523073989669247,,,17437168911277890414
184,null-calibration-20260820-001,fitted,F4,9,250,138345400850428522,8798526877442957521,12902532596654677049,,,9208799344500250986
185,null-calibration-20260820-001,fitted,F4,9,500,138345400850428522,8798526877442957521,18259109837357141607,,,12811087079033052565
186,null-calibration-20260820-001,fitted,F4,9,1000,138345400850428522,8798526877442957521,23225506685039725,,,1363705874312461539
187,null-calibration-20260820-001,fitted,F4,9,2000,138345400850428522,8798526877442957521,5619686157046750149,,,9903486779581245287
188,null-calibration-20260820-001,fitted,F5,9,250,6894155546303082559,7314024273735995722,18135133091438693090,,,14409436665811474231
189,null-calibration-20260820-001,fitted,F5,9,500,6894155546303082559,7314024273735995722,13574676095344779637,,,9709497149648854842
190,null-calibration-20260820-001,fitted,F5,9,1000,6894155546303082559,7314024273735995722,6677543206090955550,,,10772532790007552926
191,null-calibration-20260820-001,fitted,F5,9,2000,6894155546303082559,7314024273735995722,17726757722113444434,,,12069288480905912611
192,null-calibration-20260820-001,fitted,F6,9,250,7538959225975299280,2980620333197950383,11243775209815973119,,,12730738233494262771
193,null-calibration-20260820-001,fitted,F6,9,500,7538959225975299280,2980620333197950383,8783043614178203087,,,865405330839248949
194,null-calibration-20260820-001,fitted,F6,9,1000,7538959225975299280,2980620333197950383,13320251716165749989,,,5319922071047706059
195,null-calibration-20260820-001,fitted,F6,9,2000,7538959225975299280,2980620333197950383,15051191376755570649,,,14660052507424728387
196,null-calibration-20260820-001,reference,reference,9,250,,,,16708291638371109997,13471855933596820897,16343717926364329284
197,null-calibration-20260820-001,reference,reference,9,500,,,,5371715983062587214,16846814114012654642,2745774184825549522
198,null-calibration-20260820-001,reference,reference,9,1000,,,,2728715554218895072,4402248353029694699,13532642657402518742
199,null-calibration-20260820-001,reference,reference,9,2000,,,,5124636255716035866,15920760832334772643,6504343669856939746
200,null-calibration-20260820-001,fitted,F1,10,250,12307535199361365756,15281541875160866943,2703276849110467623,,,9787366877446893965
201,null-calibration-20260820-001,fitted,F1,10,500,12307535199361365756,15281541875160866943,17515979634408389361,,,16890052580430077088
202,null-calibration-20260820-001,fitted,F1,10,1000,12307535199361365756,15281541875160866943,9180295391617850002,,,8672086731656213355
203,null-calibration-20260820-001,fitted,F1,10,2000,12307535199361365756,15281541875160866943,17479848399466443045,,,7449788091311706154
204,null-calibration-20260820-001,fitted,F4,10,250,10261329203588949,16812024489915082459,195564040118697843,,,15851333521310800638
205,null-calibration-20260820-001,fitted,F4,10,500,10261329203588949,16812024489915082459,421852067368146411,,,14506360182858885939
206,null-calibration-20260820-001,fitted,F4,10,1000,10261329203588949,16812024489915082459,6374892473271586002,,,12159360424135312910
207,null-calibration-20260820-001,fitted,F4,10,2000,10261329203588949,16812024489915082459,1485494624209115397,,,8468153343829813121
208,null-calibration-20260820-001,fitted,F5,10,250,9527181993252344169,18216373729564699925,15680640621310347201,,,841400747321726112
209,null-calibration-20260820-001,fitted,F5,10,500,9527181993252344169,18216373729564699925,9747625012954492087,,,2259633006733903292
210,null-calibration-20260820-001,fitted,F5,10,1000,9527181993252344169,18216373729564699925,2040348304925628958,,,14693451480158664354
211,null-calibration-20260820-001,fitted,F5,10,2000,9527181993252344169,18216373729564699925,8784739840222937183,,,7549419188041248125
212,null-calibration-20260820-001,fitted,F6,10,250,15314055643209913471,4785439029703639128,7485084519240704710,,,4015550616673652966
213,null-calibration-20260820-001,fitted,F6,10,500,15314055643209913471,4785439029703639128,10142070273404544908,,,4350493145673156882
214,null-calibration-20260820-001,fitted,F6,10,1000,15314055643209913471,4785439029703639128,1260703175435093038,,,12990992952347620457
215,null-calibration-20260820-001,fitted,F6,10,2000,15314055643209913471,4785439029703639128,3936813719007909751,,,9420766794223959009
216,null-calibration-20260820-001,reference,reference,10,250,,,,819868499422673598,6927218941355264976,11147671511054106331
217,null-calibration-20260820-001,reference,reference,10,500,,,,1615532404625196695,12026444187453173755,8047966450357001611
218,null-calibration-20260820-001,reference,reference,10,1000,,,,4499974080115358238,10087590773294040391,1749887826822204615
219,null-calibration-20260820-001,reference,reference,10,2000,,,,14635995431745530490,3540324517826992326,18094475223062395657
220,null-calibration-20260820-001,fitted,F1,11,250,2160592055762712549,9178826250523417899,1770554925370244534,,,4771643779232491704
221,null-calibration-20260820-001,fitted,F1,11,500,2160592055762712549,9178826250523417899,1040649917730741775,,,12656845493880123076
222,null-calibration-20260820-001,fitted,F1,11,1000,2160592055762712549,9178826250523417899,6769098231329623254,,,6042454147085885184
223,null-calibration-20260820-001,fitted,F1,11,2000,2160592055762712549,9178826250523417899,16456869036014108709,,,12822486634810118650
224,null-calibration-20260820-001,fitted,F4,11,250,12253283583342204981,12696063024367060260,8116433075681758618,,,8798436791449099929
225,null-calibration-20260820-001,fitted,F4,11,500,12253283583342204981,12696063024367060260,8353091999941037542,,,199482371826063927
226,null-calibration-20260820-001,fitted,F4,11,1000,12253283583342204981,12696063024367060260,14355081812471619721,,,15428378323320683011
227,null-calibration-20260820-001,fitted,F4,11,2000,12253283583342204981,12696063024367060260,6798186867578582783,,,11283011012393739310
228,null-calibration-20260820-001,fitted,F5,11,250,18259542438082978826,16143979922022313632,16550273224878635250,,,18199556039935385552
229,null-calibration-20260820-001,fitted,F5,11,500,18259542438082978826,16143979922022313632,3102926114527699778,,,16841393776973483081
230,null-calibration-20260820-001,fitted,F5,11,1000,18259542438082978826,16143979922022313632,4162561331930925396,,,3237425711760181428
231,null-calibration-20260820-001,fitted,F5,11,2000,18259542438082978826,16143979922022313632,11194079708799658371,,,18324245473025783205
232,null-calibration-20260820-001,fitted,F6,11,250,4932551031955002610,1420089687667021945,13318602952797498165,,,11193695720098125901
233,null-calibration-20260820-001,fitted,F6,11,500,4932551031955002610,1420089687667021945,16273361378604789310,,,6010122144724195339
234,null-calibration-20260820-001,fitted,F6,11,1000,4932551031955002610,1420089687667021945,3200863888192831484,,,12996559837725272142
235,null-calibration-20260820-001,fitted,F6,11,2000,4932551031955002610,1420089687667021945,17300290651918328913,,,4968905618877470576
236,null-calibration-20260820-001,reference,reference,11,250,,,,5179914688628640870,3330724653294181377,10761778520218237875
237,null-calibration-20260820-001,reference,reference,11,500,,,,11278252747223736307,2784148893973392826,10752514207893972579
238,null-calibration-20260820-001,reference,reference,11,1000,,,,16037594059372997789,12055554742801548884,13950102012626099757
239,null-calibration-20260820-001,reference,reference,11,2000,,,,4131098730799335815,5970081915931762029,4051893870314443498
